"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38","API_UPL_01: Unauthorized Session Check @regression","api","2026-09-23","passed","2026-09-23","Token Refresh and Profile Upload API Suite","api/UserManagement/Test_002_TokenRefreshAndProfileApi.spec.ts","",""
"","38","API_VIS_02: Default visualChaos is False @smoke @regression","api","2026-09-23","passed","2026-09-23","Visual Chaos Configuration API Suite","api/ChaosAndTesting/Test_002_VisualChaosApi.spec.ts","",""
"","97","Testcase 12: Security: POST /api/login should reject unsupported content type @regression","api","2026-09-23","passed","2026-09-23","Login API - Positive, Negative and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","3182","UI_UPL_02: File Extension Filter Validation @smoke @regression","chromium","2026-09-23","passed","2026-09-23","Profile Picture Upload","ui/Profile/Test_005_ProfilePictureUpload.spec.ts","",""
"","87","Testcase 9: Negative: POST /api/login should reject missing username @regression","api","2026-09-23","passed","2026-09-23","Login API - Positive, Negative and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","113","TC-ASSERT-003: Backward compatibility for deprecated compareTwoValues wrapper @regression","chromium","2026-09-23","passed","2026-09-23","Diagnostic Assertion Engine & Step Logging Suite","ui/Diagnostic/Test_011_DiagnosticAssertionEngine.spec.ts","",""
"","28","Testcase 3: Pagination: Minimum limit (page=1, limit=1) @regression","api","2026-09-23","passed","2026-09-23","Books API - List and Security","api/BookCatalog/Test_001_BooksApi.spec.ts","",""
"","1078","VIS_REG_01: Baseline Catalog Screenshot @regression @visual","chromium","2026-09-23","passed","2026-09-23","Visual Regression & Layout Chaos Suite","ui/VisualRegression/Test_010_VisualRegressionChaos.spec.ts","",""
"","2817","A11Y_02: Image Alternative Text Scan Failure @regression @chaos @a11y","chromium","2026-09-23","passed","2026-09-23","Accessibility (a11y) Scans Suite","ui/A11y/Test_007_A11yScanValidation.spec.ts","",""
"","2834","A11Y_01: Standard Accessibility Compliance @smoke @regression @a11y","chromium","2026-09-23","passed","2026-09-23","Accessibility (a11y) Scans Suite","ui/A11y/Test_007_A11yScanValidation.spec.ts","",""
"","1374","VIS_REG_04: Book Cover Blur Filter Assertion @regression @chaos","chromium","2026-09-23","passed","2026-09-23","Visual Regression & Layout Chaos Suite","ui/VisualRegression/Test_010_VisualRegressionChaos.spec.ts","",""
"","2559","Testcase 3: Login Validation Errors @regression","chromium","2026-09-23","passed","2026-09-23","Login With Existing User","ui/UserManagement/Test_002_LoginWithExistingUser.spec.ts","",""
"","2959","A11Y_04: Text Color Contrast Scan Failure @regression @chaos @a11y","chromium","2026-09-23","passed","2026-09-23","Accessibility (a11y) Scans Suite","ui/A11y/Test_007_A11yScanValidation.spec.ts","",""
"","427","API_SAN_01: Concurrent sessions maintain 100% data isolation for cart and user state @smoke @regression @sandboxing","api","2026-09-23","passed","2026-09-23","Session-Partitioned Data Sandboxing & Multi-Tenant Isolation","api/ChaosAndTesting/Test_003_SessionSandboxingApi.spec.ts","",""
"","195","TC-ASSERT-001: verifyValue and verifyCondition exact diff diagnostic assertions @smoke @regression","chromium","2026-09-23","passed","2026-09-23","Diagnostic Assertion Engine & Step Logging Suite","ui/Diagnostic/Test_011_DiagnosticAssertionEngine.spec.ts","",""
"","17","Testcase 2: Negative: POST /api/register should reject empty password @regression","api","2026-09-23","passed","2026-09-23","Register User API - Positive, Negative, Contract and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","30","Testcase 6: Security: Request without Content-Type header should be handled @regression","api","2026-09-23","passed","2026-09-23","Books API - List and Security","api/BookCatalog/Test_001_BooksApi.spec.ts","",""
"","19","API_LOG_03: Error Body Correlation ID Mapping @regression","api","2026-09-23","passed","2026-09-23","Structured JSON Logging & Correlation ID API Suite","api/Logging/Test_001_LoggingAndCorrelationApi.spec.ts","",""
"","112","Testcase 4: Data Integrity: Page 1 last item should not be Page 2 first item @regression","api","2026-09-23","passed","2026-09-23","Books API - List and Security","api/BookCatalog/Test_001_BooksApi.spec.ts","",""
"","1103","VIS_REG_03: Book Card Border Color Assertion @regression @chaos","chromium","2026-09-23","passed","2026-09-23","Visual Regression & Layout Chaos Suite","ui/VisualRegression/Test_010_VisualRegressionChaos.spec.ts","",""
"","94","Testcase 10: Negative: GET /api/login should not be allowed for login @regression","api","2026-09-23","passed","2026-09-23","Login API - Positive, Negative and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
