"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","37","Testcase 2: Negative: POST /api/register should reject missing password","Google Chrome","2026-07-25","passed","2026-07-25","Register User API - Positive, Negative, Contract and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","30","Testcase 13: Security: GET /api/cart without auth cookies should return 401 Unauthorized","Google Chrome","2026-07-25","passed","2026-07-25","Login API - Positive, Negative and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","3037","API_INV_01: Trigger inventory report","Google Chrome","2026-07-25","passed","2026-07-25","Cart & Inventory API","api/CartAndInventory/Test_001_CartAndInventoryApi.spec.ts","",""
"","1298","API_TEST_01: Global reset clears all non-default users and carts","Google Chrome","2026-07-25","passed","2026-07-25","Chaos and Testing Utilities API","api/ChaosAndTesting/Test_001_ChaosAndTestingApi.spec.ts","",""
"","1081","API_CHAOS_01: Inject checkout failures","Google Chrome","2026-07-25","passed","2026-07-25","Chaos and Testing Utilities API","api/ChaosAndTesting/Test_001_ChaosAndTestingApi.spec.ts","",""
"","419","Testcase 5: Security: POST /api/register should handle SQL injection pattern in username without server error or sensitive leakage","Google Chrome","2026-07-25","passed","2026-07-25","Register User API - Positive, Negative, Contract and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","30","Testcase 6: Security: Request without Content-Type header should be handled","Google Chrome","2026-07-25","passed","2026-07-25","Books API - List and Security","api/BookCatalog/Test_001_BooksApi.spec.ts","",""
"","32","Testcase 11: Security: POST /api/login should handle SQL injection pattern in username without server error or sensitive leakage","Google Chrome","2026-07-25","passed","2026-07-25","Login API - Positive, Negative and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","392","Testcase 7: Positive and Contract: POST /api/login should login a registered user successfully","Google Chrome","2026-07-25","passed","2026-07-25","Login API - Positive, Negative and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","33","Testcase 7: Defaults: Verify API works without query parameters","Google Chrome","2026-07-25","passed","2026-07-25","Books API - List and Security","api/BookCatalog/Test_001_BooksApi.spec.ts","",""
"","587","Testcase 4: Data Integrity: Page 1 last item should not be Page 2 first item","Google Chrome","2026-07-25","passed","2026-07-25","Books API - List and Security","api/BookCatalog/Test_001_BooksApi.spec.ts","",""
"","386","Testcase 3: Negative: POST /api/register should reject duplicate usernames","Google Chrome","2026-07-25","passed","2026-07-25","Register User API - Positive, Negative, Contract and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","32","Testcase 6: Security: POST /api/register should reject unsupported content type","Google Chrome","2026-07-25","passed","2026-07-25","Register User API - Positive, Negative, Contract and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","88","Testcase 3: Pagination: Standard page 2 (page=2, limit=5)","Google Chrome","2026-07-25","passed","2026-07-25","Books API - List and Security","api/BookCatalog/Test_001_BooksApi.spec.ts","",""
"","12359","Testcase 1: Complete checkout after cart persists across logout and login","Google Chrome","2026-07-25","passed","2026-07-25","Cart Persistence Checkout","ui/Checkout/Test_002_CartPersistenceCheckout.spec.ts","",""
"","4432","Testcase 3: Login Validation Errors","Google Chrome","2026-07-25","passed","2026-07-25","Login With Existing User","ui/UserManagement/Test_002_LoginWithExistingUser.spec.ts","",""
"","36","Testcase 2: Negative: POST /api/register should reject empty password","Google Chrome","2026-07-25","passed","2026-07-25","Register User API - Positive, Negative, Contract and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","29","Testcase 10: Negative: GET /api/login should not be allowed for login","Google Chrome","2026-07-25","passed","2026-07-25","Login API - Positive, Negative and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","4553","Testcase 1: Login With Existing User","Google Chrome","2026-07-25","passed","2026-07-25","Login With Existing User","ui/UserManagement/Test_002_LoginWithExistingUser.spec.ts","",""
"","2600","Testcase 3: Password Strength Indicator","Google Chrome","2026-07-25","passed","2026-07-25","Register New User","ui/UserManagement/Test_001_RegisterUser.spec.ts","",""
"","366","Testcase 8: Negative: POST /api/login should reject incorrect password","Google Chrome","2026-07-25","passed","2026-07-25","Login API - Positive, Negative and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","15125","Testcase 1: Register New User","Google Chrome","2026-07-25","passed","2026-07-25","Register New User","ui/UserManagement/Test_001_RegisterUser.spec.ts","",""
"","484","Testcase 5: Security: POST /api/register should handle script tag in fullName without server error or sensitive leakage","Google Chrome","2026-07-25","passed","2026-07-25","Register User API - Positive, Negative, Contract and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","31","Testcase 4: Negative: GET /api/register should not be allowed for user registration","Google Chrome","2026-07-25","passed","2026-07-25","Register User API - Positive, Negative, Contract and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","355","Testcase 2: GET /api/books?page=2&limit=8 - should return a paged book list with valid contract for page 2","Google Chrome","2026-07-25","passed","2026-07-25","Books API - List and Security","api/BookCatalog/Test_001_BooksApi.spec.ts","",""
"","7580","Testcase 2: Login With Registered User and Logout","Google Chrome","2026-07-25","passed","2026-07-25","Register New User","ui/UserManagement/Test_001_RegisterUser.spec.ts","",""
"","1946","UI_STYLE_03: Hover Animation CSS Verification","Google Chrome","2026-07-25","passed","2026-07-25","Modern UI Styling & Layout Suite","ui/Styling/Test_009_UIStyleAndLayoutValidation.spec.ts","",""
"","94","Testcase 5: Negative: String instead of number","Google Chrome","2026-07-25","passed","2026-07-25","Books API - List and Security","api/BookCatalog/Test_001_BooksApi.spec.ts","",""
"","3920","Testcase 2: Login Using Saved Session Storage","Google Chrome","2026-07-25","passed","2026-07-25","Login With Existing User","ui/UserManagement/Test_002_LoginWithExistingUser.spec.ts","",""
"","3085","API_CHAOS_02: Inject API latency","Google Chrome","2026-07-25","passed","2026-07-25","Chaos and Testing Utilities API","api/ChaosAndTesting/Test_001_ChaosAndTestingApi.spec.ts","",""
"","290","Testcase 3: Pagination: Minimum limit (page=1, limit=1)","Google Chrome","2026-07-25","passed","2026-07-25","Books API - List and Security","api/BookCatalog/Test_001_BooksApi.spec.ts","",""
"","33","Testcase 11: Security: POST /api/login should handle script tag in username without server error or sensitive leakage","Google Chrome","2026-07-25","passed","2026-07-25","Login API - Positive, Negative and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","186","Testcase 3: Pagination: Standard page 1 (page=1, limit=5)","Google Chrome","2026-07-25","passed","2026-07-25","Books API - List and Security","api/BookCatalog/Test_001_BooksApi.spec.ts","",""
"","24179","UI_STYLE_01: Retained Automation Selectors","Google Chrome","2026-07-25","passed","2026-07-25","Modern UI Styling & Layout Suite","ui/Styling/Test_009_UIStyleAndLayoutValidation.spec.ts","",""
"","60","Testcase 2: Negative: POST /api/register should reject missing username","Google Chrome","2026-07-25","passed","2026-07-25","Register User API - Positive, Negative, Contract and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","37","Testcase 2: Negative: POST /api/register should reject empty username","Google Chrome","2026-07-25","passed","2026-07-25","Register User API - Positive, Negative, Contract and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","177","API_CART_01: Cart persistence after server crash","Google Chrome","2026-07-25","passed","2026-07-25","Cart & Inventory API","api/CartAndInventory/Test_001_CartAndInventoryApi.spec.ts","",""
"","749","Testcase 1: Positive and Contract: POST /api/register should register a user and allow login","Google Chrome","2026-07-25","passed","2026-07-25","Register User API - Positive, Negative, Contract and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","2000","UI_STYLE_02: Catalog Grid Layout Responsiveness","Google Chrome","2026-07-25","passed","2026-07-25","Modern UI Styling & Layout Suite","ui/Styling/Test_009_UIStyleAndLayoutValidation.spec.ts","",""
"","196","Testcase 3: Pagination: Exceeding total pages (page=9999, limit=10)","Google Chrome","2026-07-25","passed","2026-07-25","Books API - List and Security","api/BookCatalog/Test_001_BooksApi.spec.ts","",""
"","33","Testcase 11: Security: POST /api/login should handle oversized username without server error or sensitive leakage","Google Chrome","2026-07-25","passed","2026-07-25","Login API - Positive, Negative and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","28","Testcase 5: Negative: Zero limit","Google Chrome","2026-07-25","passed","2026-07-25","Books API - List and Security","api/BookCatalog/Test_001_BooksApi.spec.ts","",""
"","1156","UI_STYLE_04: HSL CSS Variable Theme Verification","Google Chrome","2026-07-25","passed","2026-07-25","Modern UI Styling & Layout Suite","ui/Styling/Test_009_UIStyleAndLayoutValidation.spec.ts","",""
"","32","Testcase 9: Negative: POST /api/login should reject unregistered user","Google Chrome","2026-07-25","passed","2026-07-25","Login API - Positive, Negative and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","488","Testcase 5: Security: POST /api/register should handle oversized username without server error or sensitive leakage","Google Chrome","2026-07-25","passed","2026-07-25","Register User API - Positive, Negative, Contract and Security","api/UserManagement/Test_001_RegisterAndLoginUser.spec.ts","",""
"","87","Testcase 5: Negative: Negative page number","Google Chrome","2026-07-25","passed","2026-07-25","Books API - List and Security","api/BookCatalog/Test_001_BooksApi.spec.ts","",""
